SEX,MALE.STAGE,FEMALE.STAGE,CONFIRM.,filename_image,image_size,bgr_pixel_m,bgr_pixel_f,hsv_pixel_m,hsv_pixel_f,lab_pixel_m,lab_pixel_f,ycrcb_pixel_m,ycrcb_pixel_f,bgr,hsv,lab,ycrb,,BEST,bgr_perc_f_total,bgr_perc_m_total,bgr_perc_f_gonad,bgr_perc_m_gonad,bgr_perc_gonad_total,hsv_perc_f_total,hsv_perc_m_total,hsv_perc_f_gonad,hsv_perc_m_gonad,hsv_perc_gonad_total,lab_perc_f_total,lab_perc_m_total,lab_perc_f_gonad,lab_perc_m_gonad,lab_perc_gonad_total,ycrcb_perc_f_total,ycrcb_perc_m_total,ycrcb_perc_f_gonad,ycrcb_perc_m_gonad,ycrcb_perc_gonad_total,magnification
H,1,1,,20180924-angasi152-40x.tif,4915200,973605.5,690697.5,1156068,1716170,1378241.5,1081518,511030.5,3929980,,,,,,,14.05227661,19.80805461,41.5007063,58.4992937,33.86033122,34.91556803,23.52026367,59.75027139,40.24972861,58.43583171,22.00354004,28.0403951,43.96844488,56.03155512,50.04393514,79.95564779,10.39694214,88.49292295,11.50707705,90.35258993,40x
H,2,2,,20180924-angasi155-10x-tiled-scale.tif,17870560,426633.5,0,711218,3939185.5,774738.5,11579342,773939.5,12290487,,,,,,,0,2.387353838,0,100,2.387353838,22.04287666,3.979830515,84.70631634,15.29368366,26.02270718,64.79563036,4.335278245,93.72888577,6.271114228,69.1309086,68.77505238,4.330807205,94.075978,5.924022,73.10585958,10x
H,2,2,,20180924-angasi155-10x-tiled.tif,17870560,941936.5,0,855547.5,2866913,1266305,17037446,1111500.5,17325978.5,,,,,,,0,5.270884069,0,100,5.270884069,16.04265899,4.787468887,77.01661307,22.98338693,20.83012788,95.33806439,7.085983875,93.08171861,6.918281395,102.4240483,96.95263327,6.219729544,93.97151585,6.028484154,103.1723628,10x
H,2,2,,20180924-angasi155-60x-scale.tif,307200,4291.5,16906.5,0,124789.5,300,142840,22.5,184038,,,,,,,5.503417969,1.396972656,79.75516558,20.24483442,6.900390625,40.62158203,0,100,0,40.62158203,46.49739583,0.09765625,99.79041498,0.209585022,46.59505208,59.90820313,0.007324219,99.98777576,0.012224241,59.91552734,60x
H,2,2,,20180924-angasi155-60x.tif,4915200,81087.5,465954.5,46,2047691.5,7868.5,2358545,1479.5,3014229.5,,,,,,,9.479868571,1.649729411,85.17709792,14.82290208,11.12959798,41.66039022,0.000935872,99.99775362,0.002246382,41.66132609,47.98472087,0.160085042,99.6674926,0.3325074,48.14480591,61.32465617,0.030100505,99.95094023,0.049059773,61.35475667,60x
H,1,1,,20180924-angasi157-10x-tiled-scale.tif,17849817,114393.5,0,23700,777436.5,161827,4867030.5,69544.5,5117901,,,,,,,0,0.640866514,0,100,0.640866514,4.355431207,0.13277447,97.04170263,2.958297369,4.488205677,27.26655685,0.906603132,96.7820325,3.217967501,28.17315998,28.67200823,0.389609036,98.65936905,1.340630952,29.06161727,10x
H,1,1,,20180924-angasi157-10x-tiled.tif,17849817,176161.5,0,20854,0,333803.5,16326381,136580,17716376,,,,,,,0,0.986909278,0,100,0.986909278,0,0.116830329,0,100,0.116830329,91.46525704,1.870066791,97.99639974,2.00360026,93.33532383,99.25242371,0.765161906,99.23497263,0.765027371,100.0175856,10x
H,2,2,,20180924-angasi159-10x-scale.tif,307200,10654,1735,5778,57820.5,7917.5,140003.5,3395.5,162882.5,,,,,,,0.564778646,3.468098958,14.00435871,85.99564129,4.032877604,18.82177734,1.880859375,90.91488007,9.085119932,20.70263672,45.57405599,2.577311198,94.64748075,5.35251925,48.15136719,53.02164714,1.10530599,97.95793791,2.042062089,54.12695313,10x
H,2,2,,20180924-angasi159-10x-tiled-scale.tif,17860788,896540,0,1121076,10273961.5,1162893.5,11896147.5,803140,12250179,,,,,,,0,5.019599359,0,100,5.019599359,57.52244246,6.276744341,90.16171733,9.838282673,63.7991868,66.60483009,6.510874548,91.09510798,8.904892021,73.11570464,68.58700187,4.496666105,93.84723533,6.152764672,73.08366798,10x
H,2,2,,20180924-angasi159-10x-tiled.tif,17860788,1881805,0,1240458.5,3731154,1949137.5,17137259.5,1375672,17462761.5,,,,,,,0,10.53595732,0,100,10.53595732,20.89019813,6.9451499,75.04917167,24.95082833,27.83534803,95.94906731,10.91294236,89.78781852,10.21218148,106.8620097,97.7715065,7.702190967,92.69752445,7.302475548,105.4736975,10x
H,2,2,,20180924-angasi159-10x.tif,4915200,236263,0,156644,1025633.5,239256.5,2196246.5,84156.5,2614298,,,,,,,0,4.80678304,0,100,4.80678304,20.86656698,3.186930339,86.7506571,13.2493429,24.05349731,44.68274943,4.867685954,90.17630034,9.823699663,49.55043538,53.18802897,1.712168376,96.88130743,3.11869257,54.90019735,10x
H,2,2,,20180924-angasi159-60x-scale.tif,307200,495.5,57084,0,39707.5,0,206698,0,197987.5,,,,,,,18.58203125,0.161295573,99.13945067,0.860549327,18.74332682,12.92561849,0,100,0,12.92561849,67.28450521,0,100,0,67.28450521,64.44905599,0,100,0,64.44905599,60x
H,2,2,,20180924-angasi162-20x-scale.tif,307200,0,28355.5,0,52499.5,0,230512.5,0,222919.5,,,,,,,9.23030599,0,100,0,9.23030599,17.08968099,0,100,0,17.08968099,75.03662109,0,100,0,75.03662109,72.56494141,0,100,0,72.56494141,20x
H,2,2,,20180924-angasi162-10x-tiled-scale.tif,17868114,84455,0,10189,275665,79167,13218463.5,23772.5,14821459,,,,,,,0,0.472657607,0,100,0.472657607,1.542776143,0.057023366,96.435593,3.564407005,1.599799509,73.97794473,0.443062989,99.40465333,0.595346667,74.42100772,82.94920773,0.13304426,99.8398644,0.160135596,83.08225199,10x
H,2,2,,20180924-angasi162-20x.tif,4915200,0,1178289,0,1103353.5,0,3847090,0,3596132,,,,,,,23.97235107,0,100,0,23.97235107,22.44778442,0,100,0,22.44778442,78.26924642,0,100,0,78.26924642,73.16349284,0,100,0,73.16349284,20x
H,2,2,,20180924-angasi162-40x-scale.tif,307200,0,23323,0,94234,0,208534,0,195761,,,,,,,7.592122396,0,100,0,7.592122396,30.67513021,0,100,0,30.67513021,67.88216146,0,100,0,67.88216146,63.72428385,0,100,0,63.72428385,40x
H,2,2,,20180924-angasi162-40x.tif,4915200,0,1038788.5,0,1562696,0,3231765.5,0,3043970.5,,,,,,,21.13420614,0,100,0,21.13420614,31.79313151,0,100,0,31.79313151,65.75043742,0,100,0,65.75043742,61.92973836,0,100,0,61.92973836,40x
H,2,2,,20180924-angasi162-10x-tiled.tif,17868114,154324.5,0,8116.5,0,153932.5,16898091,37087,17337811.5,,,,,,,0,0.863686565,0,100,0.863686565,0,0.045424492,0,100,0.045424492,94.57120656,0.861492713,99.09727722,0.902722777,95.43269928,97.03212941,0.207559679,99.78654839,0.213451607,97.23968909,10x
H,2,2,,20180924-angasi163-10x-tiled-scale.tif,17851040,1189432,0,1594481,3222989.5,1959121.5,14340669.5,2217366,15339259.5,,,,,,,0,6.66309638,0,100,6.66309638,18.05491165,8.93214625,66.9021118,33.0978882,26.9870579,80.33520456,10.97483116,87.98069558,12.01930442,91.31003572,85.92922037,12.42149477,87.37020392,12.62979608,98.35071514,10x
H,2,2,,20180924-angasi163-10x-tiled.tif,17851040,1748219.5,0,1799504,2780409.5,2680249.5,16942667,2846080.5,17229849,,,,,,,0,9.793376184,0,100,9.793376184,15.57561632,10.08066757,60.70877758,39.29122242,25.65628389,94.91137211,15.01452857,86.34122762,13.65877238,109.9259007,96.52014112,15.94349965,85.82341854,14.17658146,112.4636408,10x
